#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f656n_005_syn.txt
#Angstrom %1
6538.000000 0.006486
6540.000000 0.013323
6542.000000 0.027278
6544.000000 0.055361
6546.000000 0.113072
6548.000000 0.223523
6550.000000 0.400950
6552.000000 0.590489
6554.000000 0.704917
6556.000000 0.749567
6558.000000 0.767464
6560.000000 0.777044
6562.000000 0.778400
6564.000000 0.770989
6566.000000 0.755081
6568.000000 0.734563
6570.000000 0.718113
6572.000000 0.713865
6574.000000 0.709888
6576.000000 0.647160
6578.000000 0.439003
6580.000000 0.199933
6582.000000 0.076105
6584.000000 0.029448
6586.000000 0.012509
6588.000000 0.005741
